dataset,train,FR,bpp,threshold,genuine_to_impostor_OW,genuine_to_impostor_WW,impostor_to_genuine_OW,impostor_to_genuine_WW,total_genuine,total_impostor,correctly_accepted_OO,correctly_rejected_OO,TAR_OO,TAR_OW,TAR_WW,delta_OW,delta_WW
CFD,coco,arcface,1,0.65324,0,0,0.0,0.0,158,12403.0,158,12391.0,,,,,
CFD,coco,arcface,3,0.65324,0,0,0.0,0.0,158,12403.0,158,12391.0,,,,,
CFD,coco,arcface,6,0.65324,0,0,0.0,0.0,158,12403.0,158,12391.0,,,,,
CFD,coco,arcface,8,0.65324,0,0,0.0,0.0,158,12403.0,158,12391.0,,,,,
CFD,celeba_hq,arcface,1,0.65324,0,0,0.0,0.0,158,12403.0,158,12391.0,,,,,
CFD,celeba_hq,arcface,3,0.65324,0,0,0.0,0.0,158,12403.0,158,12391.0,,,,,
CFD,celeba_hq,arcface,6,0.65324,0,0,0.0,0.0,158,12403.0,158,12391.0,,,,,
CFD,celeba_hq,arcface,8,0.65324,0,0,0.0,0.0,158,12403.0,158,12391.0,,,,,
CFD,coco,facenet,1,0.306484,0,0,0.0,0.0,158,12403.0,157,12391.0,,,,,
CFD,coco,facenet,3,0.306484,0,0,0.0,0.0,158,12403.0,157,12391.0,,,,,
CFD,coco,facenet,6,0.306484,0,0,0.0,0.0,158,12403.0,157,12391.0,,,,,
CFD,coco,facenet,8,0.306484,0,0,0.0,0.0,158,12403.0,157,12391.0,,,,,
CFD,celeba_hq,facenet,1,0.306484,0,0,0.0,0.0,158,12403.0,157,12391.0,,,,,
CFD,celeba_hq,facenet,3,0.306484,0,0,0.0,0.0,158,12403.0,157,12391.0,,,,,
CFD,celeba_hq,facenet,6,0.306484,0,0,0.0,0.0,158,12403.0,157,12391.0,,,,,
CFD,celeba_hq,facenet,8,0.306484,0,0,0.0,0.0,158,12403.0,157,12391.0,,,,,
facelab_london,coco,arcface,1,0.711058,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,coco,arcface,3,0.711058,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,coco,arcface,6,0.711058,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,coco,arcface,8,0.711058,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,celeba_hq,arcface,1,0.711058,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,celeba_hq,arcface,3,0.711058,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,celeba_hq,arcface,6,0.711058,0,0,1.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,celeba_hq,arcface,8,0.711058,0,0,1.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,coco,facenet,1,0.397461,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,coco,facenet,3,0.397461,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,coco,facenet,6,0.397461,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,coco,facenet,8,0.397461,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,celeba_hq,facenet,1,0.397461,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,celeba_hq,facenet,3,0.397461,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,celeba_hq,facenet,6,0.397461,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
facelab_london,celeba_hq,facenet,8,0.397461,0,0,0.0,0.0,102,5151.0,102,5146.0,,,,,
ONOT_set1,coco,arcface,1,0.369381,0,0,0.0,0.0,255,32385.0,135,32353.0,,,,,
ONOT_set1,coco,arcface,3,0.369381,1,1,0.0,0.0,255,32385.0,135,32353.0,,,,,
ONOT_set1,coco,arcface,6,0.369381,2,2,1.0,1.0,255,32385.0,135,32353.0,,,,,
ONOT_set1,coco,arcface,8,0.369381,2,3,2.0,2.0,255,32385.0,135,32353.0,,,,,
ONOT_set1,celeba_hq,arcface,1,0.369381,1,1,0.0,0.0,255,32385.0,135,32353.0,,,,,
ONOT_set1,celeba_hq,arcface,3,0.369381,1,1,0.0,0.0,255,32385.0,135,32353.0,,,,,
ONOT_set1,celeba_hq,arcface,6,0.369381,4,2,1.0,1.0,255,32385.0,135,32353.0,,,,,
ONOT_set1,celeba_hq,arcface,8,0.369381,4,2,2.0,2.0,255,32385.0,135,32353.0,,,,,
ONOT_set1,coco,facenet,1,0.201446,0,0,0.0,0.0,255,32385.0,127,32353.0,,,,,
ONOT_set1,coco,facenet,3,0.201446,0,0,1.0,0.0,255,32385.0,127,32353.0,,,,,
ONOT_set1,coco,facenet,6,0.201446,1,2,0.0,0.0,255,32385.0,127,32353.0,,,,,
ONOT_set1,coco,facenet,8,0.201446,2,6,2.0,0.0,255,32385.0,127,32353.0,,,,,
ONOT_set1,celeba_hq,facenet,1,0.201446,0,0,0.0,0.0,255,32385.0,127,32353.0,,,,,
ONOT_set1,celeba_hq,facenet,3,0.201446,1,0,0.0,1.0,255,32385.0,127,32353.0,,,,,
ONOT_set1,celeba_hq,facenet,6,0.201446,1,1,2.0,4.0,255,32385.0,127,32353.0,,,,,
ONOT_set1,celeba_hq,facenet,8,0.201446,2,3,1.0,1.0,255,32385.0,127,32353.0,,,,,
SCface,coco,arcface,1,0.716937,0,0,0.0,0.0,130,8385.0,129,8377.0,,,,,
SCface,coco,arcface,3,0.716937,0,0,0.0,0.0,130,8385.0,129,8377.0,,,,,
SCface,coco,arcface,6,0.716937,0,0,0.0,0.0,130,8385.0,129,8377.0,,,,,
SCface,coco,arcface,8,0.716937,0,0,0.0,0.0,130,8385.0,129,8377.0,,,,,
SCface,celeba_hq,arcface,1,0.716937,0,0,0.0,0.0,130,8385.0,129,8377.0,,,,,
SCface,celeba_hq,arcface,3,0.716937,0,0,0.0,0.0,130,8385.0,129,8377.0,,,,,
